professions_original	profession	occupation_dist	prof_gender	female_dist	male_dist	major_occupation_group	major_occupation_group_dist	occupational_subgroup	occupational_subgroup_dist	occupational_category	occupational_category_dist
Interior designers	interior designer	81.9	female_dominated	0.819	0.181	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Arts, design, entertainment, sports, and media occupations	50.8
Respiratory therapists	respiratory therapist	82.1	female_dominated	0.821	0.179	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Healthcare practitioners and technical occupations	75.8
Animal trainers	animal trainer	82.3	female_dominated	0.823	0.177	Service occupations	57.5			Personal care and service occupations	76.1
Hosts and hostesses, restaurant, lounge, and coffee shop	host	82.3	female_dominated	0.823	0.177	Service occupations	57.5			Food preparation and serving related occupations	54.3
Social workers, all other	social worker	83.4	female_dominated	0.834	0.166	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Community and social service occupations	69.6
Library assistants, clerical	library clerical assistant	84.2	female_dominated	0.842	0.158	Sales and office occupations	60.4			Office and administrative support occupations	71.6
Massage therapists	massage therapist	84.4	female_dominated	0.844	0.156	Service occupations	57.5			Healthcare support occupations	84.6
School psychologists	school psychologist	84.4	female_dominated	0.844	0.156	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Life, physical, and social science occupations	50.7
Human resources assistants, except payroll and timekeeping	human resources assistant	84.6	female_dominated	0.846	0.154	Sales and office occupations	60.4			Office and administrative support occupations	71.6
Bookkeeping, accounting, and auditing clerks	bookkeeper	85.1	female_dominated	0.851	0.149	Sales and office occupations	60.4			Office and administrative support occupations	71.6
Healthcare social workers	healthcare social worker	85.3	female_dominated	0.853	0.147	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Community and social service occupations	69.6
Special education teachers	special education teacher	85.7	female_dominated	0.857	0.143	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Education, training, and library occupations	73.4
Manicurists and pedicurists	manicurist	85.9	female_dominated	0.859	0.141	Service occupations	57.5			Personal care and service occupations	76.1
Veterinary technologists and technicians	veterinary technologist	86.2	female_dominated	0.862	0.138	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Healthcare practitioners and technical occupations	75.8
Billing and posting clerks	billing clerk	86.6	female_dominated	0.866	0.134	Sales and office occupations	60.4			Office and administrative support occupations	71.6
Registered nurses	registered nurse	86.8	female_dominated	0.868	0.132	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Healthcare practitioners and technical occupations	75.8
Travel agents	travel agent	87.2	female_dominated	0.872	0.128	Sales and office occupations	60.4			Sales and related occupations	47.9
Occupational therapists	occupational therapist	87.5	female_dominated	0.875	0.125	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Healthcare practitioners and technical occupations	75.8
Maids and housekeeping cleaners	housekeeper	87.7	female_dominated	0.877	0.123	Service occupations	57.5			Building and grounds cleaning and maintenance occupations	40.7
Nurse practitioners	nurse practitioner	88.1	female_dominated	0.881	0.119	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Healthcare practitioners and technical occupations	75.8
Receptionists and information clerks	receptionist	88.4	female_dominated	0.884	0.116	Sales and office occupations	60.4			Office and administrative support occupations	71.6
Nursing assistants	nursing assistant	88.6	female_dominated	0.886	0.114	Service occupations	57.5			Healthcare support occupations	84.6
Home health aides	home health aide	88.7	female_dominated	0.887	0.113	Service occupations	57.5			Healthcare support occupations	84.6
Librarians and media collections specialists	librarian	89.2	female_dominated	0.892	0.108	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Education, training, and library occupations	73.4
Licensed practical and licensed vocational nurses	vocational nurse	89.6	female_dominated	0.896	0.104	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Healthcare practitioners and technical occupations	75.8
Phlebotomists	phlebotomist	90.4	female_dominated	0.904	0.096	Service occupations	57.5			Healthcare support occupations	84.6
Medical assistants	medical assistant	90.7	female_dominated	0.907	0.093	Service occupations	57.5			Healthcare support occupations	84.6
Payroll and timekeeping clerks	payroll clerk	91.2	female_dominated	0.912	0.088	Sales and office occupations	60.4			Office and administrative support occupations	71.6
Hairdressers, hairstylists, and cosmetologists	hairdresser	91.3	female_dominated	0.913	0.087	Service occupations	57.5			Personal care and service occupations	76.1
Secretaries and administrative assistants, except legal, medical, and executive	secretary	91.4	female_dominated	0.914	0.086	Sales and office occupations	60.4			Office and administrative support occupations	71.6
Dental assistants	dental assistant	91.8	female_dominated	0.918	0.082	Service occupations	57.5			Healthcare support occupations	84.6
Medical records specialists	medical records specialist	92.0	female_dominated	0.92	0.08	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Healthcare practitioners and technical occupations	75.8
Dietitians and nutritionists	dietitian	92.1	female_dominated	0.921	0.079	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Healthcare practitioners and technical occupations	75.8
Medical secretaries and administrative assistants	medical secretary	92.9	female_dominated	0.929	0.071	Sales and office occupations	60.4			Office and administrative support occupations	71.6
Dental hygienists	dental hygienist	93.9	female_dominated	0.939	0.061	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Healthcare practitioners and technical occupations	75.8
Childcare workers	childcare worker	94.4	female_dominated	0.944	0.056	Service occupations	57.5			Personal care and service occupations	76.1
Skincare specialists	skincare specialist	95.2	female_dominated	0.952	0.048	Service occupations	57.5			Personal care and service occupations	76.1
Speech-language pathologists	speech-language pathologist	95.4	female_dominated	0.954	0.046	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Healthcare practitioners and technical occupations	75.8
Executive secretaries and executive administrative assistants	executive secretary	95.6	female_dominated	0.956	0.044	Sales and office occupations	60.4			Office and administrative support occupations	71.6
Preschool and kindergarten teachers	kindergarten teacher	96.8	female_dominated	0.968	0.032	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Education, training, and library occupations	73.4
